"activities-heart__value__restingHeartRate","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__heartRateZones__min","activities-heart__dateTime","activities-heart-intraday__datasetType","activities-heart-intraday__datasetInterval","activities-heart-intraday__dataset__value","activities-heart-intraday__dataset__time"
"","","","","","","","","","86","00:22:05"
"","","","","","","","","","89","00:22:15"
"","","","","","","","","","91","00:22:20"
"","","","","","","","","","96","00:22:25"
"","","","","","","","","","97","00:22:35"
"","","","","","","","","","98","00:22:40"
"","","","","","","","","","99","00:22:50"
"","","","","","","","","","96","00:23:00"
"","","","","","","","","","96","00:23:05"
"","","","","","","","","","98","00:23:10"
"","","","","","","","","","100","00:23:15"
"","","","","","","","","","103","00:23:20"
"","","","","","","","","","102","00:23:25"
"","","","","","","","","","100","00:23:30"
"","","","","","","","","","100","00:23:35"
"","","","","","","","","","102","00:23:40"
"","","","","","","","","","99","00:23:45"
"","","","","","","","","","96","00:23:50"
"","","","","","","","","","90","00:23:55"
"","","","","","","","","","88","00:24:00"
"","","","","","","","","","86","00:24:05"
"","","","","","","","","","88","00:24:15"
"","","","","","","","","","86","00:24:20"
"","","","","","","","","","84","00:24:25"
"","","","","","","","","","82","00:24:40"
"","","","","","","","","","81","00:24:55"
"","","","","","","","","","82","00:25:00"
"","","","","","","","","","82","00:25:15"
"","","","","","","","","","81","00:25:30"
"","","","","","","","","","80","00:25:35"
"","","","","","","","","","79","00:25:45"
"","","","","","","","","","77","00:25:50"
"","","","","","","","","","75","00:26:00"
"","","","","","","","","","75","00:26:15"
"","","","","","","","","","74","00:26:20"
"","","","","","","","","","73","00:26:30"
"","","","","","","","","","74","00:26:45"
"","","","","","","","","","73","00:26:55"
"","","","","","","","","","72","00:27:05"
"","","","","","","","","","72","00:27:20"
"","","","","","","","","","73","00:27:35"
"","","","","","","","","","73","00:27:40"
"","","","","","","","","","73","00:27:55"
"","","","","","","","","","73","00:28:10"
"","","","","","","","","","73","00:28:25"
"","","","","","","","","","73","00:28:40"
"","","","","","","","","","73","00:28:55"
"","","","","","","","","","73","00:29:10"
"","","","","","","","","","73","00:29:25"
"","","","","","","","","","73","00:29:40"
"","","","","","","","","","74","00:29:45"
"","","","","","","","","","74","00:30:00"
"","","","","","","","","","75","00:30:15"
"","","","","","","","","","78","00:30:20"
"","","","","","","","","","78","00:30:35"
"","","","","","","","","","82","00:30:40"
"","","","","","","","","","80","00:30:45"
"","","","","","","","","","79","00:30:50"
"","","","","","","","","","80","00:30:55"
"","","","","","","","","","80","00:31:10"
"","","","","","","","","","82","00:31:15"
"","","","","","","","","","90","00:31:20"
"","","","","","","","","","90","00:31:35"
"","","","","","","","","","91","00:31:40"
"","","","","","","","","","91","00:31:55"
"","","","","","","","","","90","00:32:00"
"","","","","","","","","","88","00:32:05"
"","","","","","","","","","87","00:32:10"
"","","","","","","","","","85","00:32:15"
"","","","","","","","","","84","00:32:20"
"","","","","","","","","","82","00:32:35"
"","","","","","","","","","81","00:32:40"
"","","","","","","","","","79","00:32:45"
"","","","","","","","","","78","00:32:50"
"","","","","","","","","","77","00:33:00"
"","","","","","","","","","76","00:33:05"
"","","","","","","","","","77","00:33:10"
"","","","","","","","","","76","00:33:25"
